epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
87,7388.84,0.82909,0.45414,0.01132,0.75951,0.66905,0.72406,0.55665,1.02569,1.05125,0.01057,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966
88,7439.68,0.83165,0.45267,0.01141,0.84604,0.65506,0.73404,0.56808,1.0516,0.9726,0.01073,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
89,7490.96,0.82917,0.45744,0.01117,0.85298,0.65273,0.73968,0.57331,1.0243,1.04377,0.0106,0.0111565,0.00371885,0.0111565,0.00371885,0.0111565,0.00371885,0.0111565,0.00371885
90,7541.98,0.81792,0.43476,0.01125,0.8701,0.62218,0.74673,0.57808,1.01606,1.10714,0.01043,0.0108579,0.00361929,0.0108579,0.00361929,0.0108579,0.00361929,0.0108579,0.00361929
91,7593.42,0.80974,0.44143,0.01092,0.80305,0.66779,0.76614,0.58924,1.03162,1.01866,0.01048,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
92,7646.18,0.80039,0.42278,0.01092,0.79206,0.64268,0.74258,0.57498,1.06401,1.11839,0.01098,0.0102663,0.00342211,0.0102663,0.00342211,0.0102663,0.00342211,0.0102663,0.00342211
93,7700.18,0.80389,0.43639,0.0109,0.79096,0.65417,0.74713,0.57769,1.03175,1.09375,0.01049,0.00997371,0.00332457,0.00997371,0.00332457,0.00997371,0.00332457,0.00997371,0.00332457
94,7752.44,0.79562,0.4324,0.01101,0.74222,0.66611,0.75388,0.56753,1.06281,1.11501,0.01088,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
95,7847.29,0.79035,0.42344,0.01074,0.80167,0.7304,0.78321,0.60475,1.04828,1.05106,0.0107,0.00939539,0.0031318,0.00939539,0.0031318,0.00939539,0.0031318,0.00939539,0.0031318
96,7951.64,0.79772,0.41678,0.011,0.789,0.65052,0.74811,0.58454,1.02674,1.13937,0.01028,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665
